
在位置 3193 发现不同:  文件1: 5.46064 文件2: 2.73179
在位置 3194 发现不同:  文件1: 10.7053 文件2: 20.5921
在位置 3195 发现不同:  文件1: 19.3771 文件2: 5.50856
在位置 3276 发现不同:  文件1: 311.933 文件2: 318.281
在位置 3277 发现不同:  文件1: 7.79401 文件2: 2.9128
在位置 3278 发现不同:  文件1: 144.485 文件2: 11.4083
在位置 3279 发现不同:  文件1: 143.514 文件2: 5.90825
在位置 3360 发现不同:  文件1: 333.227 文件2: 324.662
在位置 3361 发现不同:  文件1: 11.9564 文件2: 3.80239
在位置 3362 发现不同:  文件1: 34.3524 文件2: 23.6761
在位置 3363 发现不同:  文件1: 24.0464 文件2: 7.69051
在位置 3444 发现不同:  文件1: 340.443 文件2: 331.988
在位置 3445 发现不同:  文件1: 6.63864 文件2: 4.52545
在位置 3446 发现不同:  文件1: 152.697 文件2: 12.9097
在位置 3447 发现不同:  文件1: 168.355 文件2: 9.09815
在位置 3528 发现不同:  文件1: 348.316 文件2: 342.355
在位置 3529 发现不同:  文件1: 1.49226 文件2: 5.36869
在位置 3530 发现不同:  文件1: 24.6591 文件2: 15.5775
在位置 3531 发现不同:  文件1: 13.2282 文件2: 10.7204
在位置 3612 发现不同:  文件1: 342.272 文件2: 349.461
在位置 3613 发现不同:  文件1: -4.94191 文件2: 7.06694
在位置 3614 发现不同:  文件1: 163.709 文件2: 19.3772
在位置 3615 发现不同:  文件1: 153.799 文件2: 14.0866
在位置 3696 发现不同:  文件1: 357.936 文件2: 351.918
在位置 3697 发现不同:  文件1: -4.68346 文件2: 7.79856
在位置 3698 发现不同:  文件1: 35.5033 文件2: 16.5192
在位置 3699 发现不同:  文件1: 25.2602 文件2: 15.5213
在位置 3780 发现不同:  文件1: 355.585 文件2: 373.227
在位置 3781 发现不同:  文件1: -5.65055 文件2: 11.9564
在位置 3782 发现不同:  文件1: 152.65 文件2: 34.3523
在位置 3783 发现不同:  文件1: 155.529 文件2: 24.0465
在位置 3864 发现不同:  文件1: 364.77 文件2: 373.76
在位置 3865 发现不同:  文件1: -0.315629 文件2: 12.4429
在位置 3866 发现不同:  文件1: 22.5035 文件2: 31.9697
在位置 3867 发现不同:  文件1: 21.569 文件2: 24.7416
在位置 3948 发现不同:  文件1: 379.033 文件2: 372.925
在位置 3949 发现不同:  文件1: 8.5306 文件2: 12.316
在位置 3950 发现不同:  文件1: 176.036 文件2: 32.3937
在位置 3951 发现不同:  文件1: 145.92 文件2: 24.6591
在位置 4032 发现不同:  文件1: 379.811 文件2: 397.814
在位置 4033 发现不同:  文件1: 9.18587 文件2: 13.0154
在位置 4034 发现不同:  文件1: 57.2329 文件2: 27.8416
在位置 4035 发现不同:  文件1: 18.4233 文件2: 25.708
在位置 4116 发现不同:  文件1: 403.084 文件2: 397.832
在位置 4117 发现不同:  文件1: -1.3262 文件2: 12.6786
在位置 4118 发现不同:  文件1: 151.042 文件2: 27.9667
在位置 4119 发现不同:  文件1: 144.388 文件2: 25.2698
在位置 4200 发现不同:  文件1: 413.254 文件2: 397.849
在位置 4201 发现不同:  文件1: 2.36878 文件2: 12.4164
在位置 4202 发现不同:  文件1: 26.4052 文件2: 27.0725
在位置 4203 发现不同:  文件1: 20.4461 文件2: 24.7261
在位置 4284 发现不同:  文件1: 414.932 文件2: 402.151
在位置 4285 发现不同:  文件1: -3.64828 文件2: 11.3058
在位置 4286 发现不同:  文件1: 144.975 文件2: 28.1582
在位置 4287 发现不同:  文件1: 151.255 文件2: 22.3525
在位置 4368 发现不同:  文件1: 420.334 文件2: 415.684
在位置 4369 发现不同:  文件1: -4.82269 文件2: 7.77273
在位置 4370 发现不同:  文件1: 23.0962 文件2: 21.5692
在位置 4371 发现不同:  文件1: 25.5116 文件2: 15.5883
在位置 4452 发现不同:  文件1: 419.606 文件2: 426.379
在位置 4453 发现不同:  文件1: -4.69999 文件2: 8.58429
在位置 4454 发现不同:  文件1: 152.869 文件2: 54.7175
在位置 4455 发现不同:  文件1: 150.154 文件2: 17.4582
在位置 4536 发现不同:  文件1: 426.785 文件2: 427.811
在位置 4537 发现不同:  文件1: 6.80008 文件2: 9.18583
在位置 4538 发现不同:  文件1: 26.9835 文件2: 57.233
在位置 4539 发现不同:  文件1: 54.0186 文件2: 18.4232
在位置 4620 发现不同:  文件1: 444.084 文件2: 430.5
在位置 4621 发现不同:  文件1: 20.6875 文件2: 11.3535
在位置 4622 发现不同:  文件1: 166.548 文件2: 56.6559
在位置 4623 发现不同:  文件1: 169.439 文件2: 22.7315
在位置 4704 发现不同:  文件1: 446.55 文件2: 456.5
在位置 4705 发现不同:  文件1: 21.2318 文件2: 13.2539
在位置 4706 发现不同:  文件1: 36.7239 文件2: 14.7081
在位置 4707 发现不同:  文件1: 42.9956 文件2: 26.405
在位置 4788 发现不同:  文件1: 475.234 文件2: 458.495
在位置 4789 发现不同:  文件1: 3.56272 文件2: 11.7225
在位置 4790 发现不同:  文件1: 166.359 文件2: 14.1736
在位置 4791 发现不同:  文件1: 145.707 文件2: 23.3512
在位置 4872 发现不同:  文件1: 479.48 文件2: 467.799
在位置 4873 发现不同:  文件1: 7.25878 文件2: 12.8032
在位置 4874 发现不同:  文件1: 30.9062 文件2: 22.8304
在位置 4875 发现不同:  文件1: 19.3924 文件2: 25.5505
在位置 4956 发现不同:  文件1: 477.529 文件2: 473.129
在位置 4957 发现不同:  文件1: -0.512077 文件2: 12.5455
在位置 4958 发现不同:  文件1: 152.371 文件2: 18.0219
在位置 4959 发现不同:  文件1: 145.011 文件2: 24.9574
在位置 5040 发现不同:  文件1: 488.213 文件2: 474.876
在位置 5041 发现不同:  文件1: 3.35229 文件2: 13.3518
在位置 5042 发现不同:  文件1: 23.7392 文件2: 23.4253
在位置 5043 发现不同:  文件1: 9.8141 文件2: 26.7094
在位置 5124 发现不同:  文件1: 477.296 文件2: 494.8
在位置 5125 发现不同:  文件1: 3.03603 文件2: 20.9391
在位置 5126 发现不同:  文件1: 164.808 文件2: 54.0185
在位置 5127 发现不同:  文件1: 150.945 文件2: 42.432
在位置 5208 发现不同:  文件1: 484.406 文件2: 500.068
在位置 5209 发现不同:  文件1: -1.5365 文件2: 21.8973
在位置 5210 发现不同:  文件1: 38.6643 文件2: 39.8435
在位置 5211 发现不同:  文件1: 27.8889 文件2: 44.0854
在位置 5292 发现不同:  文件1: 506.85 文件2: 502.55
在位置 5293 发现不同:  文件1: 13.8456 文件2: 21.2318
在位置 5294 发现不同:  文件1: 149.746 文件2: 36.7239
在位置 5295 发现不同:  文件1: 154.833 文件2: 42.9955
在位置 5376 发现不同:  文件1: 512.635 文件2: 518.723
在位置 5377 发现不同:  文件1: 10.0926 文件2: 20.4383
在位置 5378 发现不同:  文件1: 18.0975 文件2: 13.2393
在位置 5379 发现不同:  文件1: 18.9838 文件2: 40.8667
在位置 5460 发现不同:  文件1: 533.198 文件2: 523.097
在位置 5461 发现不同:  文件1: 5.38957 文件2: 15.4793
在位置 5462 发现不同:  文件1: 153.867 文件2: 14.6801
在位置 5463 发现不同:  文件1: 159.098 文件2: 30.9053
在位置 5544 发现不同:  文件1: 544.157 文件2: 531.012
在位置 5545 发现不同:  文件1: 4.94555 文件2: 9.30849
在位置 5546 发现不同:  文件1: 32.6725 文件2: 23.9339
在位置 5547 发现不同:  文件1: 50.796 文件2: 18.5803
